"timestamp","light","distance","__dt"
"2021-06-21T12:49:34",,"56.39175","2021-06-21 00:00:00.000"
"2021-06-21T12:49:54","0.0",,"2021-06-21 00:00:00.000"
"2021-06-21T12:49:54",,"51.7354","2021-06-21 00:00:00.000"
"2021-06-03T20:46:17",,"6.786942","2021-06-03 00:00:00.000"
"2021-06-03T20:46:17","23.95604",,"2021-06-03 00:00:00.000"
"2021-06-20T11:55:30","41.80708",,"2021-06-20 00:00:00.000"
"2021-06-20T11:55:30",,"38.71134","2021-06-20 00:00:00.000"
"2021-06-20T11:55:51","40.29304",,"2021-06-20 00:00:00.000"
"2021-06-20T11:55:51",,"63.48797","2021-06-20 00:00:00.000"
"2021-06-21T12:43:01",,"62.74914","2021-06-21 00:00:00.000"
"2021-06-21T12:43:01","0.0",,"2021-06-21 00:00:00.000"
"2021-06-21T12:43:22","0.0",,"2021-06-21 00:00:00.000"
"2021-06-21T12:43:22",,"47.23368","2021-06-21 00:00:00.000"
"2021-06-21T13:00:10","55.94628",,"2021-06-21 00:00:00.000"
"2021-06-21T13:00:09",,"49.41581","2021-06-21 00:00:00.000"
"2021-06-11T07:24:46",,"43.19588","2021-06-11 00:00:00.000"
"2021-06-11T07:24:46","0.0",,"2021-06-11 00:00:00.000"
"2021-06-18T12:35:02",,"52.02749","2021-06-18 00:00:00.000"
"2021-06-18T12:35:02","0.0",,"2021-06-18 00:00:00.000"
"2021-06-18T12:35:23","0.0",,"2021-06-18 00:00:00.000"
"2021-06-18T12:35:23",,"49.12371","2021-06-18 00:00:00.000"
"2021-06-10T14:50:11",,"52.1134","2021-06-10 00:00:00.000"
"2021-06-10T14:50:11","34.79853",,"2021-06-10 00:00:00.000"
"2021-06-18T12:45:30",,"37.98969","2021-06-18 00:00:00.000"
"2021-06-18T12:45:30","0.0",,"2021-06-18 00:00:00.000"
"2021-06-18T12:45:51","0.0",,"2021-06-18 00:00:00.000"
"2021-06-18T12:45:51",,"1210.859","2021-06-18 00:00:00.000"
"2021-06-26T09:21:41","49.89011",,"2021-06-26 00:00:00.000"
"2021-06-26T09:21:41",,"26.20275","2021-06-26 00:00:00.000"
"2021-06-21T12:50:15",,"51.68385","2021-06-21 00:00:00.000"
"2021-06-21T12:50:15","0.0",,"2021-06-21 00:00:00.000"
"2021-06-10T16:56:48",,"36.21993","2021-06-10 00:00:00.000"
"2021-06-10T16:56:48","0.0",,"2021-06-10 00:00:00.000"
"2021-06-26T07:34:11","52.35653",,"2021-06-26 00:00:00.000"
"2021-06-26T07:34:11",,"100.3608","2021-06-26 00:00:00.000"
"2021-06-26T07:41:06",,"41.23712","2021-06-26 00:00:00.000"
"2021-06-26T07:41:06","50.86691",,"2021-06-26 00:00:00.000"
"2021-06-26T07:41:26","50.52503",,"2021-06-26 00:00:00.000"
"2021-06-26T07:41:26",,"21.56358","2021-06-26 00:00:00.000"
"2021-06-23T11:45:07",,"38.76289","2021-06-23 00:00:00.000"
"2021-06-23T11:45:07","71.37973",,"2021-06-23 00:00:00.000"
"2021-06-23T11:45:28","71.37973",,"2021-06-23 00:00:00.000"
"2021-06-23T11:45:28",,"44.19244","2021-06-23 00:00:00.000"
"2021-06-10T17:19:33",,"68.14433","2021-06-10 00:00:00.000"
"2021-06-10T17:19:33","0.0",,"2021-06-10 00:00:00.000"
"2021-06-10T17:19:53","0.0",,"2021-06-10 00:00:00.000"
"2021-06-10T17:19:53",,"51.7354","2021-06-10 00:00:00.000"
"2021-06-18T12:49:38","0.0",,"2021-06-18 00:00:00.000"
"2021-06-18T12:49:38",,"53.57388","2021-06-18 00:00:00.000"
"2021-06-23T11:38:14",,"45.03437","2021-06-23 00:00:00.000"
"2021-06-23T11:38:14","66.37363",,"2021-06-23 00:00:00.000"
"2021-06-26T08:22:31",,"42.73196","2021-06-26 00:00:00.000"
"2021-06-26T08:22:31","51.18437",,"2021-06-26 00:00:00.000"
"2021-06-26T08:22:52",,"39.36426","2021-06-26 00:00:00.000"
"2021-06-26T08:22:52","51.15995",,"2021-06-26 00:00:00.000"
"2021-06-03T20:58:00",,"52.09622","2021-06-03 00:00:00.000"
"2021-06-03T20:58:00","33.84615",,"2021-06-03 00:00:00.000"
"2021-06-03T20:58:21",,"106.2715","2021-06-03 00:00:00.000"
"2021-06-03T20:58:21","33.91942",,"2021-06-03 00:00:00.000"
"2021-06-10T17:06:48",,"42.90378","2021-06-10 00:00:00.000"
"2021-06-10T17:06:48","0.0",,"2021-06-10 00:00:00.000"
"2021-06-20T11:54:08","0.0",,"2021-06-20 00:00:00.000"
"2021-06-20T11:54:08",,"43.43643","2021-06-20 00:00:00.000"
"2021-06-20T11:54:28",,"51.30584","2021-06-20 00:00:00.000"
"2021-06-20T11:54:28","0.0",,"2021-06-20 00:00:00.000"
"2021-06-03T20:38:42",,"51.40893","2021-06-03 00:00:00.000"
